pairing,game_idx,starter,A_name,B_name,A_symbol,B_symbol,winner_agent,winner_symbol,moves,seconds,sec_per_move
qlearn_vs_minmax@5,170,B,qlearn,minmax@5,O,X,B,X,17,7.947237,0.467485
qlearn_vs_minmax@5,171,A,qlearn,minmax@5,X,O,A,X,15,7.586461,0.505764
qlearn_vs_minmax@5,172,B,qlearn,minmax@5,O,X,A,O,22,9.619799,0.437264
qlearn_vs_minmax@5,173,A,qlearn,minmax@5,X,O,A,X,19,10.824394,0.569705
qlearn_vs_minmax@5,174,B,qlearn,minmax@5,O,X,B,X,19,8.438169,0.444114
qlearn_vs_minmax@5,175,A,qlearn,minmax@5,X,O,B,O,18,8.960031,0.497780
qlearn_vs_minmax@5,176,B,qlearn,minmax@5,O,X,A,O,22,9.280289,0.421831
qlearn_vs_minmax@5,177,A,qlearn,minmax@5,X,O,A,X,23,10.303726,0.447988
qlearn_vs_minmax@5,178,B,qlearn,minmax@5,O,X,B,X,15,7.273836,0.484922
qlearn_vs_minmax@5,179,A,qlearn,minmax@5,X,O,B,O,20,9.942203,0.497110
qlearn_vs_minmax@5,180,B,qlearn,minmax@5,O,X,B,X,21,11.159511,0.531405
qlearn_vs_minmax@5,181,A,qlearn,minmax@5,X,O,A,X,19,8.717496,0.458816
qlearn_vs_minmax@5,182,B,qlearn,minmax@5,O,X,B,X,27,11.009726,0.407768
qlearn_vs_minmax@5,183,A,qlearn,minmax@5,X,O,B,O,18,8.457621,0.469868
qlearn_vs_minmax@5,184,B,qlearn,minmax@5,O,X,B,X,17,8.633785,0.507870
qlearn_vs_minmax@5,185,A,qlearn,minmax@5,X,O,A,X,19,9.202857,0.484361
qlearn_vs_minmax@5,186,B,qlearn,minmax@5,O,X,B,X,21,8.957711,0.426558
qlearn_vs_minmax@5,187,A,qlearn,minmax@5,X,O,A,X,19,10.038751,0.528355
qlearn_vs_minmax@5,188,B,qlearn,minmax@5,O,X,B,X,27,11.472679,0.424914
qlearn_vs_minmax@5,189,A,qlearn,minmax@5,X,O,B,O,28,13.654528,0.487662
qlearn_vs_minmax@5,190,B,qlearn,minmax@5,O,X,B,X,19,9.136730,0.480881
qlearn_vs_minmax@5,191,A,qlearn,minmax@5,X,O,A,X,35,14.404071,0.411545
qlearn_vs_minmax@5,192,B,qlearn,minmax@5,O,X,B,X,23,11.740389,0.510452
qlearn_vs_minmax@5,193,A,qlearn,minmax@5,X,O,B,O,16,8.216734,0.513546
qlearn_vs_minmax@5,194,B,qlearn,minmax@5,O,X,A,O,14,7.696510,0.549751
qlearn_vs_minmax@5,195,A,qlearn,minmax@5,X,O,B,O,28,13.666525,0.488090
qlearn_vs_minmax@5,196,B,qlearn,minmax@5,O,X,B,X,21,8.725993,0.415523
qlearn_vs_minmax@5,197,A,qlearn,minmax@5,X,O,B,O,20,9.660256,0.483013
qlearn_vs_minmax@5,198,B,qlearn,minmax@5,O,X,B,X,27,9.187448,0.340276
qlearn_vs_minmax@5,199,A,qlearn,minmax@5,X,O,A,X,17,9.058027,0.532825
qlearn_vs_minmax@5,200,B,qlearn,minmax@5,O,X,B,X,15,7.761222,0.517415
qlearn_vs_mcts@1000,1,A,qlearn,mcts@1000,X,O,B,O,14,0.808951,0.057782
qlearn_vs_mcts@1000,2,B,qlearn,mcts@1000,O,X,B,X,25,1.305277,0.052211
qlearn_vs_mcts@1000,3,A,qlearn,mcts@1000,X,O,B,O,8,0.615046,0.076881
qlearn_vs_mcts@1000,4,B,qlearn,mcts@1000,O,X,B,X,9,0.819176,0.091020
qlearn_vs_mcts@1000,5,A,qlearn,mcts@1000,X,O,B,O,10,0.681504,0.068150
